carat,price
0,0.7096,maga
0,-0.3182,maga
0,0.3612,maga
0,0.3612,maga
0,-0.7906,maga
0,-0.8176,maga
0,0.0,maga
0,0.6369,maga
0,0.0,maga
0,-0.6114,maga
0,0.3612,maga
0,-0.4717,maga
0,0.0,maga
0,0.0,maga
0,0.886,maga
0,0.5859,maga
0,-0.8268,maga
0,-0.5849,maga
0,-0.4404,maga
0,0.0,maga
0,0.3818,maga
0,-0.4753,maga
0,0.6369,maga
0,-0.1759,maga
0,0.0,maga
0,0.6996,maga
0,0.0,maga
0,0.7964,maga
0,0.0,maga
0,0.4574,maga
0,0.0,maga
0,0.0,maga
0,0.0,maga
0,0.5848,maga
0,-0.5267,maga
0,0.0,maga
0,0.3182,maga
0,0.5994,maga
0,-0.5423,maga
0,-0.4389,maga
0,0.0,maga
0,0.4389,maga
0,-0.4404,maga
0,0.2942,maga
0,-0.0258,maga
0,0.0,maga
0,0.6703,maga
0,0.8225,maga
0,0.0,maga
0,-0.2263,maga
0,0.8402,maga
0,0.7955,maga
0,-0.2244,maga
0,0.0,maga
0,0.0,maga
0,0.0,maga
0,0.0,maga
0,0.0,maga
0,0.4019,maga
0,0.0,maga
0,0.0,maga
0,0.0,maga
0,0.4019,maga
0,-0.1027,maga
0,0.8271,maga
0,0.0,maga
0,0.8217,maga
0,-0.4404,maga
0,0.4574,maga
0,-0.3612,maga
0,-0.5106,maga
0,-0.784,maga
0,0.4574,maga
0,0.0,maga
0,-0.4404,maga
0,0.508,maga
0,0.743,maga
0,0.25,maga
0,0.8513,maga
0,-0.2732,maga
0,-0.2244,maga
0,0.0,maga
0,0.0,maga
0,0.0,maga
0,0.1783,maga
0,-0.2924,maga
0,0.0,maga
0,0.807,maga
0,0.0,maga
0,-0.6449,maga
0,-0.128,maga
0,-0.3987,maga
0,0.0,maga
0,0.1027,maga
0,-0.4767,maga
0,0.0,maga
0,0.0,maga
0,0.8402,maga
0,0.4215,maga
0,-0.7506,maga
0,-0.5255,maga
0,0.1596,maga
0,0.0,maga
0,0.0,maga
0,0.4199,maga
0,-0.4019,maga
0,-0.1007,maga
0,0.5719,maga
0,0.6369,maga
0,-0.5859,maga
0,0.0,maga
0,-0.4574,maga
0,0.4404,maga
